prikey,Key,User,Upload Time,Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start,_end,_device,site,plot,quadrat,host,phenologyhost1,phenologyhost2,phenologyhost3,light,gbh1,gbh2,gbh3,gbh4,gbh5,infest,biomass,phenologypar1,phenologypar2,phenologypar3,clump,poll,disp,foli
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Dodonea angustifolia,1,1,0,20.6000000000000014,8,6,9,6,8,1,2,1,1,1,1,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,2,1,1,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,1,1,1,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,1,1,1,1,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,1,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,1,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,2,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,,Acacia auriculiformis,1,0,1,23.8999999999999986,49,,,,,1,2,0,0,0,2,,,
